product_id,product_name,product_type,unit_price,order_detail_id,order_id,quantity,customer_id,order_date,customer_name,email,phone,total_sales
1,Steel Pipe,Pipe,250,14,71,9,24,59:23.1,Victoria Wu,Daniel518@yahoo.com,7075477759,2250
5,Plastic Elbow,Elbow,30,40,71,8,24,59:23.1,Victoria Wu,Daniel518@yahoo.com,7075477759,240
10,Galvanized Iron Tube,Tube,200,151,71,2,24,59:23.1,Victoria Wu,Daniel518@yahoo.com,7075477759,400
1,Steel Pipe,Pipe,250,19,68,4,24,21:43.8,Victoria Wu,Daniel518@yahoo.com,7075477759,1000
1,Steel Pipe,Pipe,250,176,68,9,24,21:43.8,Victoria Wu,Daniel518@yahoo.com,7075477759,2250
8,Plastic sheets,Sheets,60,62,68,1,24,21:43.8,Victoria Wu,Daniel518@yahoo.com,7075477759,60
2,PVC Fitting,Fitting,50,27,80,10,24,30:14.0,Victoria Wu,Daniel518@yahoo.com,7075477759,500
10,Galvanized Iron Tube,Tube,200,26,80,2,24,30:14.0,Victoria Wu,Daniel518@yahoo.com,7075477759,400
1,Steel Pipe,Pipe,250,36,74,7,25,14:56.1,Peter Johnson,Jesse475@gmail.com,8208039897,1750
5,Plastic Elbow,Elbow,30,160,74,1,25,14:56.1,Peter Johnson,Jesse475@gmail.com,8208039897,30
6,Aluminum Coupling,Coupling,100,89,74,1,25,14:56.1,Peter Johnson,Jesse475@gmail.com,8208039897,100
1,Steel Pipe,Pipe,250,105,37,5,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,1250
1,Steel Pipe,Pipe,250,145,37,2,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,500
3,Bronze Valve,Valve,500,68,37,7,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,3500
4,Copper Tube,Tube,150,95,37,7,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,1050
7,Stainless Steel Pipe,Pipe,350,70,37,7,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,2450
10,Galvanized Iron Tube,Tube,200,157,37,2,25,20:27.5,Peter Johnson,Jesse475@gmail.com,8208039897,400
3,Bronze Valve,Valve,500,10,57,10,25,59:18.1,Peter Johnson,Jesse475@gmail.com,8208039897,5000
10,Galvanized Iron Tube,Tube,200,129,57,6,25,59:18.1,Peter Johnson,Jesse475@gmail.com,8208039897,1200
7,Stainless Steel Pipe,Pipe,350,18,86,6,25,11:21.8,Peter Johnson,Jesse475@gmail.com,8208039897,2100
10,Galvanized Iron Tube,Tube,200,110,86,4,25,11:21.8,Peter Johnson,Jesse475@gmail.com,8208039897,800
1,Steel Pipe,Pipe,250,52,76,6,22,17:17.7,Jason Horton,Charles883@yahoo.com,6616269802,1500
9,Brass Valve,Valve,600,11,76,10,22,17:17.7,Jason Horton,Charles883@yahoo.com,6616269802,6000
4,Copper Tube,Tube,150,121,10,8,22,54:21.5,Jason Horton,Charles883@yahoo.com,6616269802,1200
6,Aluminum Coupling,Coupling,100,113,10,9,22,54:21.5,Jason Horton,Charles883@yahoo.com,6616269802,900
10,Galvanized Iron Tube,Tube,200,179,10,3,22,54:21.5,Jason Horton,Charles883@yahoo.com,6616269802,600
6,Aluminum Coupling,Coupling,100,55,23,4,22,05:59.5,Jason Horton,Charles883@yahoo.com,6616269802,400
1,Steel Pipe,Pipe,250,60,77,9,41,08:03.0,Jeremy Garcia,Jennifer237@gmail.com,8053626584,2250
3,Bronze Valve,Valve,500,24,50,1,41,05:38.9,Jeremy Garcia,Jennifer237@gmail.com,8053626584,500
3,Bronze Valve,Valve,500,180,100,3,41,19:34.4,Jeremy Garcia,Jennifer237@gmail.com,8053626584,1500
4,Copper Tube,Tube,150,1,100,9,41,19:34.4,Jeremy Garcia,Jennifer237@gmail.com,8053626584,1350
5,Plastic Elbow,Elbow,30,17,100,2,41,19:34.4,Jeremy Garcia,Jennifer237@gmail.com,8053626584,60
5,Plastic Elbow,Elbow,30,148,100,10,41,19:34.4,Jeremy Garcia,Jennifer237@gmail.com,8053626584,300
8,Plastic sheets,Sheets,60,81,5,5,41,53:04.8,Jeremy Garcia,Jennifer237@gmail.com,8053626584,300
1,Steel Pipe,Pipe,250,63,32,5,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,1250
2,PVC Fitting,Fitting,50,91,32,6,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,300
4,Copper Tube,Tube,150,169,32,1,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,150
5,Plastic Elbow,Elbow,30,147,32,1,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,30
8,Plastic sheets,Sheets,60,20,32,4,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,240
9,Brass Valve,Valve,600,99,32,8,10,09:04.9,Cheyenne Taylor,Eric118@gmail.com,8619811225,4800
2,PVC Fitting,Fitting,50,166,89,6,10,02:23.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,300
7,Stainless Steel Pipe,Pipe,350,75,89,9,10,02:23.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,3150
10,Galvanized Iron Tube,Tube,200,2,89,2,10,02:23.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,400
3,Bronze Valve,Valve,500,133,17,1,10,13:22.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,500
5,Plastic Elbow,Elbow,30,82,17,5,10,13:22.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,150
6,Aluminum Coupling,Coupling,100,46,17,4,10,13:22.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,400
8,Plastic sheets,Sheets,60,21,17,8,10,13:22.6,Cheyenne Taylor,Eric118@gmail.com,8619811225,480
4,Copper Tube,Tube,150,117,54,10,10,13:33.7,Cheyenne Taylor,Eric118@gmail.com,8619811225,1500
4,Copper Tube,Tube,150,158,22,3,10,18:20.5,Cheyenne Taylor,Eric118@gmail.com,8619811225,450
5,Plastic Elbow,Elbow,30,146,22,7,10,18:20.5,Cheyenne Taylor,Eric118@gmail.com,8619811225,210
10,Galvanized Iron Tube,Tube,200,178,22,1,10,18:20.5,Cheyenne Taylor,Eric118@gmail.com,8619811225,200
1,Steel Pipe,Pipe,250,64,39,10,46,29:17.2,Carl Michael,Joel551@yahoo.com,7823756587,2500
4,Copper Tube,Tube,150,51,39,10,46,29:17.2,Carl Michael,Joel551@yahoo.com,7823756587,1500
3,Bronze Valve,Valve,500,80,44,6,46,07:50.6,Carl Michael,Joel551@yahoo.com,7823756587,3000
5,Plastic Elbow,Elbow,30,175,44,6,46,07:50.6,Carl Michael,Joel551@yahoo.com,7823756587,180
3,Bronze Valve,Valve,500,132,75,3,46,55:01.7,Carl Michael,Joel551@yahoo.com,7823756587,1500
7,Stainless Steel Pipe,Pipe,350,41,75,5,46,55:01.7,Carl Michael,Joel551@yahoo.com,7823756587,1750
8,Plastic sheets,Sheets,60,197,75,2,46,55:01.7,Carl Michael,Joel551@yahoo.com,7823756587,120
4,Copper Tube,Tube,150,86,12,4,46,37:25.8,Carl Michael,Joel551@yahoo.com,7823756587,600
1,Steel Pipe,Pipe,250,71,9,4,50,03:46.7,Julie Stewart,Christopher313@yahoo.com,9792083251,1000
3,Bronze Valve,Valve,500,196,60,6,50,42:50.4,Julie Stewart,Christopher313@yahoo.com,9792083251,3000
8,Plastic sheets,Sheets,60,154,60,5,50,42:50.4,Julie Stewart,Christopher313@yahoo.com,9792083251,300
9,Brass Valve,Valve,600,72,60,6,50,42:50.4,Julie Stewart,Christopher313@yahoo.com,9792083251,3600
9,Brass Valve,Valve,600,163,16,2,50,20:31.8,Julie Stewart,Christopher313@yahoo.com,9792083251,1200
1,Steel Pipe,Pipe,250,87,11,4,49,38:47.3,Rebecca Evans,William379@gmail.com,9411078556,1000
3,Bronze Valve,Valve,500,186,11,1,49,38:47.3,Rebecca Evans,William379@gmail.com,9411078556,500
